class,symbol,ts,weekday,open,close,volume
us_stocks,APC,2013-06-09,Sunday,84.66317,84.62474,1886003.0
us_stocks,APC,2013-06-16,Sunday,83.58711,83.63515,1999974.0
us_stocks,APC,2013-06-23,Sunday,79.042655,79.7152,4247495.0
us_stocks,APC,2013-06-30,Sunday,82.94339,83.38535,2780267.0
us_stocks,APC,2013-07-07,Sunday,85.23963,84.83611,2411184.0
us_stocks,APC,2013-07-14,Sunday,87.11314,85.61433,3317463.0
us_stocks,APC,2013-07-21,Sunday,88.82331,87.47823,3233632.0
us_stocks,APC,2013-07-28,Sunday,85.085907,85.17238,3251828.0
us_stocks,APC,2013-08-04,Sunday,86.63275,87.28607,2207587.0
us_stocks,APC,2013-08-11,Sunday,85.4414,85.64316,2204446.0
us_stocks,APC,2013-08-18,Sunday,87.61274,85.46061,3454069.0
us_stocks,APC,2013-08-25,Sunday,88.34292,87.4494,3154713.0
us_stocks,APC,2013-09-08,Sunday,89.48624,90.33172,2317557.0
us_stocks,APC,2013-09-15,Sunday,92.022677,89.69761,3359124.0
us_stocks,APC,2013-09-22,Sunday,89.78408,90.41819,1770711.0
us_stocks,APC,2013-09-29,Sunday,89.61114,89.34212,2599868.0
us_stocks,APC,2013-10-06,Sunday,89.61114,89.9282,1875885.0
us_stocks,APC,2013-10-13,Sunday,90.82171,91.99386,2134905.0
us_stocks,APC,2013-10-20,Sunday,93.87697,92.26287,2472158.0
us_stocks,APC,2013-10-27,Sunday,92.49345,92.7913,3621177.0
us_stocks,APC,2013-11-03,Sunday,91.59994,92.16679,3348743.0
us_stocks,APC,2013-11-10,Sunday,87.57431,87.57431,1883896.0
us_stocks,APC,2013-11-17,Sunday,87.65117,86.83451,3324836.0
us_stocks,APC,2013-11-24,Sunday,88.35253,86.96902,2498293.0
us_stocks,APC,2013-12-01,Sunday,85.43179,85.037873,2452197.0
us_stocks,APC,2013-12-08,Sunday,83.26045,82.80888,4132734.0
us_stocks,APC,2013-12-15,Sunday,75.37251,75.96819,10356850.0
us_stocks,APC,2013-12-22,Sunday,76.0066209,75.41094,3634188.0
us_stocks,APC,2013-12-29,Sunday,76.21799,75.9874,2334608.0
us_stocks,APC,2014-01-05,Sunday,75.29565,75.26682,4037285.0
us_stocks,APC,2014-01-12,Sunday,76.38132,75.29565,4944357.0
us_stocks,APC,2014-01-26,Sunday,77.92816,77.29405,4938974.0
us_stocks,APC,2014-02-02,Sunday,77.56307,75.10349,7084744.0
us_stocks,APC,2014-02-09,Sunday,77.034646,77.75522,3865781.0
us_stocks,APC,2014-02-23,Sunday,79.75363,80.11872,4977913.0
us_stocks,APC,2014-03-02,Sunday,80.62793,81.089102,3424323.0
us_stocks,APC,2014-03-09,Sunday,81.72321,81.54067,2591152.0
us_stocks,APC,2014-03-16,Sunday,78.9754,78.99462,3189530.0
us_stocks,APC,2014-03-23,Sunday,80.73361,79.53265,3172656.0
us_stocks,APC,2014-03-30,Sunday,81.89615,81.43498,2927034.0
us_stocks,APC,2014-04-06,Sunday,95.25087,93.089134,8606420.0
us_stocks,APC,2014-04-13,Sunday,93.18521,93.49266,4273110.0
us_stocks,APC,2014-04-20,Sunday,95.12597,95.13557,5604735.0
us_stocks,APC,2014-04-27,Sunday,96.18282,95.46224,4490765.0
us_stocks,APC,2014-05-04,Sunday,95.15479,95.58714,3246593.0
us_stocks,APC,2014-05-11,Sunday,97.095549,97.095549,4409863.0
us_stocks,APC,2014-05-18,Sunday,95.09715,96.11557,2886661.0
us_stocks,APC,2014-06-01,Sunday,99.18043,98.48867,1263232.0
us_stocks,APC,2014-06-08,Sunday,98.48867,99.026701,2363648.0
us_stocks,APC,2014-06-15,Sunday,104.67603,104.10918,2457326.0
us_stocks,APC,2014-06-22,Sunday,107.2413,106.74169,2439210.0
us_stocks,APC,2014-06-29,Sunday,104.50309,105.17564,2379562.0
us_stocks,APC,2014-07-06,Sunday,103.37899,102.60077,1722876.0
us_stocks,APC,2014-07-13,Sunday,101.3902,101.7649,2828825.0
us_stocks,APC,2014-07-20,Sunday,104.33977,104.59918,4401092.0
us_stocks,APC,2014-07-27,Sunday,105.118,103.42704,4839592.0
us_stocks,APC,2014-08-03,Sunday,102.41822,106.38621,6785741.0
us_stocks,APC,2014-08-10,Sunday,104.98348,104.2533,2986220.0
us_stocks,APC,2014-08-17,Sunday,103.91703,104.57996,5174089.0
us_stocks,APC,2014-08-24,Sunday,105.877,107.57757,3843938.0
us_stocks,APC,2014-09-07,Sunday,104.11879,102.82175,4290687.0
us_stocks,APC,2014-09-14,Sunday,101.15001,102.072345,2408367.0
us_stocks,APC,2014-09-21,Sunday,99.93943,99.47826,6184311.0
us_stocks,APC,2014-09-28,Sunday,98.22926,100.16041,2836790.0
us_stocks,APC,2014-10-05,Sunday,95.22205,93.37737,6747318.0
us_stocks,APC,2014-10-12,Sunday,84.43258,81.90576,17058580.0
us_stocks,APC,2014-10-19,Sunday,84.91297,87.11314,6366728.0
us_stocks,APC,2014-10-26,Sunday,85.11473,84.85532,6597195.0
us_stocks,APC,2014-11-02,Sunday,88.90017,87.18039,5730556.0
us_stocks,APC,2014-11-09,Sunday,91.31171,88.71762,8555271.0
us_stocks,APC,2014-11-16,Sunday,86.18119,85.47983,3948717.0
us_stocks,APC,2014-11-23,Sunday,89.082719,88.85214,5590597.0
us_stocks,APC,2014-11-30,Sunday,75.67035,75.64153,13247174.0
us_stocks,APC,2014-12-07,Sunday,74.56546,73.66234,8080315.0
us_stocks,APC,2014-12-14,Sunday,71.27963,69.18515,7491508.0
us_stocks,APC,2014-12-21,Sunday,79.98421,80.36852,6395760.0
us_stocks,APC,2014-12-28,Sunday,80.57028,80.54146,3969444.0
us_stocks,APC,2015-01-04,Sunday,77.69758,72.82647,8958380.0
us_stocks,APC,2015-01-11,Sunday,74.3637,72.10589,7511665.0
us_stocks,APC,2015-01-25,Sunday,78.58149,79.41736,3304052.0
us_stocks,APC,2015-02-01,Sunday,79.74402,79.52304,7752406.0
us_stocks,APC,2015-02-08,Sunday,79.92657,80.18597,3086090.0
us_stocks,APC,2015-02-22,Sunday,81.25243,82.16516,3861869.0
us_stocks,APC,2015-03-01,Sunday,80.10911,78.80246,6564662.0
us_stocks,APC,2015-03-08,Sunday,78.29325,77.6015,3296411.0
us_stocks,APC,2015-03-15,Sunday,74.79605,77.4766,4590672.0
us_stocks,APC,2015-03-22,Sunday,79.042655,77.86091,3865744.0
us_stocks,APC,2015-03-29,Sunday,79.91696,80.56068,2828757.0
us_stocks,APC,2015-04-05,Sunday,81.704,82.49183,3250781.0
us_stocks,APC,2015-04-12,Sunday,86.9402,85.2012,4299731.0
us_stocks,APC,2015-04-19,Sunday,90.21643,89.98585,7866624.0
us_stocks,APC,2015-04-26,Sunday,90.014669,89.50546,2424079.0
