class,tf,symbol,ts,action,field,was,now
crypto,4h,HBAR_USD,2023-07-30 04:00:00,clamp_wick,Low,0.00386,0.0537
crypto,4h,HBAR_USD,2023-07-30 08:00:00,clamp_wick,Low,0.00387,0.0535
crypto,4h,HBAR_USD,2023-12-07 08:00:00,clamp_wick,Low,0.0005424,0.067
crypto,4h,HBAR_USD,2025-10-10 20:00:00,clamp_wick,Low,0.0725,0.16436
crypto,4h,ICP_USD,2023-06-29 12:00:00,clamp_wick,Low,0.003011,4.033
crypto,4h,ICP_USD,2023-12-13 08:00:00,clamp_wick,Low,0.3199,5.65
crypto,4h,ICP_USD,2023-12-19 12:00:00,clamp_wick,Low,0.09431,9.457
crypto,4h,ICP_USD,2025-10-10 20:00:00,clamp_wick,Low,1.16,3.039
crypto,4h,IMX_USD,2023-12-16 08:00:00,clamp_wick,Low,0.000696,2.1614
crypto,4h,IMX_USD,2025-10-10 20:00:00,clamp_wick,Low,0.219,0.485
crypto,4h,INJ_USD,2025-10-10 20:00:00,clamp_wick,Low,2.74,8.57
crypto,4h,INJ_USD,2023-11-13 16:00:00,clamp_wick,High,128.8,16.38
crypto,4h,LINK_USD,2020-03-12 08:00:00,clamp_wick,Low,1.00020003,2.3481
crypto,4h,LINK_USD,2025-10-10 20:00:00,clamp_wick,Low,7.9,17.31
crypto,4h,LTC_USD,2023-09-09 08:00:00,clamp_wick,Low,2.094e-05,62.74
crypto,4h,NEAR_USD,2023-12-12 12:00:00,clamp_wick,Low,0.01553,2.306
crypto,4h,NEAR_USD,2023-12-19 16:00:00,clamp_wick,Low,0.00109,2.403
crypto,4h,NEAR_USD,2023-12-06 00:00:00,clamp_wick,High,193.83,2.33
crypto,4h,OP_USD,2021-08-06 08:00:00,clamp_wick,Low,0.00020317,0.00060753
crypto,4h,OP_USD,2023-07-28 08:00:00,clamp_wick,Low,0.2048,1.47
crypto,4h,OP_USD,2025-10-10 20:00:00,clamp_wick,Low,0.234,0.498
crypto,4h,OP_USD,2022-08-03 04:00:00,clamp_wick,High,0.00023010001,0.00011489
crypto,4h,OP_USD,2022-08-15 08:00:00,clamp_wick,High,0.0002426,0.00012034
crypto,4h,OP_USD,2022-09-14 08:00:00,clamp_wick,High,0.00020358,0.00010117
crypto,4h,OP_USD,2022-11-29 08:00:00,clamp_wick,High,0.00016510001,8.2469996e-05
crypto,4h,SAND_USD,2025-10-10 20:00:00,clamp_wick,Low,0.0557,0.1874
crypto,4h,SAND_USD,2023-12-06 00:00:00,clamp_wick,High,193.77,0.4523
crypto,4h,SAND_USD,2023-12-18 16:00:00,clamp_wick,High,1.099,0.4812
crypto,4h,SOL_USD,2023-11-27 00:00:00,clamp_wick,Low,0.2698,56.6
crypto,4h,SOL_USD,2023-12-12 16:00:00,clamp_wick,Low,2.24e-06,67.62
crypto,4h,SOL_USD,2023-12-16 08:00:00,clamp_wick,Low,0.01652,74.39
crypto,4h,SOL_USD,2023-12-20 12:00:00,clamp_wick,Low,0.45911,77.06
crypto,4h,TRX_USD,2023-12-13 20:00:00,clamp_wick,Low,0.0011054,0.10399
crypto,4h,TRX_USD,2023-12-12 16:00:00,clamp_wick,High,13.44,0.10372
crypto,4h,UNI_USD,2023-06-01 00:00:00,clamp_wick,Low,0.0005,5.002
crypto,4h,UNI_USD,2025-10-10 20:00:00,clamp_wick,Low,2.0,5.792
crypto,4h,XLM_USD,2023-12-13 20:00:00,clamp_wick,High,402.568,0.1249
crypto,4h,XLM_USD,2023-12-15 20:00:00,clamp_wick,High,0.2769,0.1243
crypto,4h,XRP_USD,2023-07-26 20:00:00,clamp_wick,Low,0.1614,0.7142
crypto,4h,XRP_USD,2023-11-16 00:00:00,clamp_wick,Low,0.1636,0.6461
crypto,4h,XRP_USD,2023-12-14 12:00:00,clamp_wick,Low,0.001397,0.623
crypto,4h,XRP_USD,2023-12-13 16:00:00,clamp_wick,High,38.889,0.6254
crypto,4h,XRP_USD,2023-12-20 12:00:00,clamp_wick,High,1268.0,0.62150002
crypto,4h,XTZ_USD,2023-12-19 20:00:00,clamp_wick,High,374.93,0.872
crypto,1h,ADA_USD,2023-07-26 22:00:00,clamp_wick,Low,0.0265,0.3072
crypto,1h,ADA_USD,2025-10-10 21:00:00,clamp_wick,Low,0.2737,0.6199
crypto,1h,ATOM_USD,2025-10-10 21:00:00,clamp_wick,Low,0.749,2.944
crypto,1h,AVAX_USD,2023-07-27 11:00:00,clamp_wick,Low,0.632717,13.34
crypto,1h,AVAX_USD,2023-07-29 08:00:00,clamp_wick,Low,2.65e-06,13.18
crypto,1h,AVAX_USD,2023-11-27 01:00:00,clamp_wick,Low,1.171,20.94
crypto,1h,AVAX_USD,2023-11-27 02:00:00,clamp_wick,Low,1.171,20.83
crypto,1h,AVAX_USD,2025-10-10 21:00:00,clamp_wick,Low,8.52,21.86
crypto,1h,BCH_USD,2023-12-13 00:00:00,drop_bar,,50.9,
crypto,1h,BCH_USD,2023-06-30 21:00:00,clamp_wick,Low,0.0306,300.8
crypto,1h,BCH_USD,2023-07-10 07:00:00,clamp_wick,Low,0.0264,264.2
crypto,1h,BCH_USD,2023-07-20 09:00:00,clamp_wick,Low,0.0248,248.7
crypto,1h,BCH_USD,2023-09-12 16:00:00,clamp_wick,Low,0.0207,197.5
crypto,1h,BCH_USD,2023-11-14 00:00:00,clamp_wick,Low,7.0161,233.9
crypto,1h,BCH_USD,2023-11-14 04:00:00,clamp_wick,Low,1.5975,237.3
crypto,1h,BCH_USD,2023-12-12 14:00:00,clamp_wick,Low,4.569,231.9
crypto,1h,BCH_USD,2023-12-13 09:00:00,clamp_wick,Low,0.02965,229.1
crypto,1h,BCH_USD,2023-12-20 13:00:00,clamp_wick,Low,0.0302,228.8
crypto,1h,BNB_USD,2023-07-26 14:00:00,clamp_wick,Low,0.2118,238.2
crypto,1h,BNB_USD,2023-12-14 15:00:00,clamp_wick,Low,0.25069,250.6
crypto,1h,BTC_USD,2023-03-30 01:00:00,drop_bar,,2.835,
crypto,1h,BTC_USD,2023-03-31 10:00:00,drop_bar,,27893.8,
crypto,1h,BTC_USD,2023-07-19 02:00:00,drop_bar,,30024.0,
crypto,1h,BTC_USD,2023-07-24 02:00:00,drop_bar,,29799.63,
crypto,1h,BTC_USD,2023-08-01 15:00:00,drop_bar,,2.8954,
crypto,1h,BTC_USD,2023-04-10 15:00:00,clamp_wick,Low,2.8413,28305.42
crypto,1h,BTC_USD,2023-04-12 01:00:00,clamp_wick,Low,3.0245,30170.8
crypto,1h,BTC_USD,2023-05-06 21:00:00,clamp_wick,Low,2.876,28795.9
crypto,1h,BTC_USD,2023-05-14 02:00:00,clamp_wick,Low,2.677,26729.99
crypto,1h,BTC_USD,2023-05-15 17:00:00,clamp_wick,Low,2.747,27482.66
crypto,1h,BTC_USD,2023-05-28 12:00:00,clamp_wick,Low,2.7162,27142.48
crypto,1h,BTC_USD,2023-05-28 18:00:00,clamp_wick,Low,2.761,27351.59
crypto,1h,BTC_USD,2023-05-29 15:00:00,clamp_wick,Low,2.7588,27630.51
crypto,1h,BTC_USD,2023-06-06 01:00:00,clamp_wick,Low,2.563,25640.01
crypto,1h,BTC_USD,2023-06-09 17:00:00,clamp_wick,Low,2.6509,26482.83
crypto,1h,BTC_USD,2023-06-15 23:00:00,clamp_wick,Low,2.5571,25598.49
crypto,1h,BTC_USD,2023-06-16 07:00:00,clamp_wick,Low,2.5585,25537.01
crypto,1h,BTC_USD,2023-06-16 14:00:00,clamp_wick,Low,2.5496,25492.64
crypto,1h,BTC_USD,2023-06-19 12:00:00,clamp_wick,Low,2.6514,26447.73
crypto,1h,BTC_USD,2023-06-19 19:00:00,clamp_wick,Low,2.6594,26495.99
crypto,1h,BTC_USD,2023-06-20 13:00:00,clamp_wick,Low,2.6886,26812.01
crypto,1h,BTC_USD,2023-06-20 23:00:00,clamp_wick,Low,2.825,28213.47
crypto,1h,BTC_USD,2023-06-21 06:00:00,clamp_wick,Low,2.8925,28858.01
crypto,1h,BTC_USD,2023-06-21 07:00:00,clamp_wick,Low,2.887,28858.01
crypto,1h,BTC_USD,2023-06-21 08:00:00,clamp_wick,Low,2.884,28824.41
crypto,1h,BTC_USD,2023-06-21 16:00:00,clamp_wick,Low,2.9922,29851.58
crypto,1h,BTC_USD,2023-06-22 05:00:00,clamp_wick,Low,3.0304,30285.3
crypto,1h,BTC_USD,2023-06-28 05:00:00,clamp_wick,Low,3.0408,30452.53
crypto,1h,BTC_USD,2023-06-29 13:00:00,clamp_wick,Low,3.068,30564.0
crypto,1h,BTC_USD,2023-06-29 14:00:00,clamp_wick,Low,3.0552,30450.01
crypto,1h,BTC_USD,2023-06-30 16:00:00,clamp_wick,Low,3.002,30067.72
crypto,1h,BTC_USD,2023-06-30 17:00:00,clamp_wick,Low,3.0542,30400.54
crypto,1h,BTC_USD,2023-07-01 12:00:00,clamp_wick,Low,3.054,30523.02
crypto,1h,BTC_USD,2023-07-03 07:00:00,clamp_wick,Low,3.066,30651.25
crypto,1h,BTC_USD,2023-07-03 10:00:00,clamp_wick,Low,3.0622,30610.6
