engine,convention,ticker,rule,n_bars,final_equity,total_return,n_trades,ref_equity,ref_trades,rel_error,trade_diff
manifoldbt,next_open,NVDA,MACD_CROSS,2848,83479.50445027695,7.347950445027694,236,89693.32118177674,236,0.0692784774789037,0
manifoldbt,next_open,NVDA,CCI_ZERO,2848,260406.5848733187,25.04065848733187,266,286696.1917772498,266,0.09169848661386115,0
manifoldbt,next_open,NVDA,BBANDS_DIP,2848,12272.546834359671,0.2272546834359672,136,12718.723047928344,136,0.03508026803377462,0
manifoldbt,next_open,GOOGL,SMA_CROSS,2848,52700.03485658007,4.270003485658006,60,51795.92364960129,60,0.01745525792908098,0
manifoldbt,next_open,GOOGL,RSI_TREND,2848,29580.58683239666,1.958058683239666,292,30858.77343378973,292,0.041420525159094,0
manifoldbt,next_open,GOOGL,MACD_CROSS,2848,21566.292479832537,1.1566292479832536,240,22168.024888032516,240,0.027144159718298866,0
manifoldbt,next_open,GOOGL,CCI_ZERO,2848,33700.5917111717,2.3700591711171697,284,34831.31582786244,284,0.03246285963696627,0
manifoldbt,next_open,GOOGL,BBANDS_DIP,2848,13934.803376002052,0.3934803376002054,132,14096.09382062858,132,0.01144220850676314,0
manifoldbt,next_open,META,SMA_CROSS,2848,76231.359666891,6.6231359666891,55,78259.03368331965,55,0.025909775791939427,0
manifoldbt,next_open,META,RSI_TREND,2848,14891.209540589924,0.4891209540589925,332,15512.585838210569,332,0.040056268123272676,0
manifoldbt,next_open,META,MACD_CROSS,2848,13015.19374801058,0.301519374801058,234,13749.567637269334,234,0.053410689603662354,0
manifoldbt,next_open,META,CCI_ZERO,2848,10496.720830302596,0.0496720830302594,300,10641.564077865576,300,0.013611086350008739,0
manifoldbt,next_open,META,BBANDS_DIP,2848,11489.325189141084,0.1489325189141084,148,11805.667609725331,148,0.026795809524880143,0
manifoldbt,next_open,TSLA,SMA_CROSS,2848,44458.707723332765,3.4458707723332767,68,46267.71798337618,68,0.03909875694957299,0
manifoldbt,next_open,TSLA,RSI_TREND,2848,129386.19489496856,11.938619489496856,302,150780.92939580462,302,0.14189284139955272,0
manifoldbt,next_open,TSLA,MACD_CROSS,2848,435489.1258032062,42.54891258032062,218,478484.84474815865,218,0.08985805802811253,0
manifoldbt,next_open,TSLA,CCI_ZERO,2848,185837.6342018784,17.583763420187843,272,204657.5062122301,272,0.09195788788140258,0
manifoldbt,next_open,TSLA,BBANDS_DIP,2848,12689.44635627314,0.2689446356273139,157,13770.373437048656,157,0.0784965698800385,0
manifoldbt,next_open,JPM,SMA_CROSS,2848,39003.819888844,2.9003819888844,55,38767.60630114011,55,0.006093066099284616,0
manifoldbt,next_open,JPM,RSI_TREND,2848,20912.865202279347,1.0912865202279347,327,21672.29249282678,327,0.03504139171242693,0
manifoldbt,next_open,JPM,MACD_CROSS,2848,26931.19072410211,1.693119072410211,221,26984.4657298424,221,0.0019742842520454884,0
manifoldbt,next_open,JPM,CCI_ZERO,2848,14850.31922864746,0.4850319228647459,315,15161.597838447324,315,0.02053072592457983,0
manifoldbt,next_open,JPM,BBANDS_DIP,2848,13798.661968101447,0.3798661968101449,150,13893.971770143668,150,0.0068597952852494926,0
manifoldbt,next_open,JNJ,SMA_CROSS,2848,15152.568020829814,0.5152568020829815,71,15196.025138972513,71,0.002859768771456328,0
manifoldbt,next_open,JNJ,RSI_TREND,2848,21948.572266922674,1.1948572266922677,301,22393.93846795281,301,0.019887801409630645,0
manifoldbt,next_open,JNJ,MACD_CROSS,2848,22036.191815606937,1.2036191815606938,217,22459.096794880745,217,0.01883000830960413,0
manifoldbt,next_open,JNJ,CCI_ZERO,2848,18900.516224774823,0.8900516224774824,299,19401.38095299693,299,0.025815931836786987,0
manifoldbt,next_open,JNJ,BBANDS_DIP,2848,10698.147419650202,0.0698147419650201,166,10791.484021452923,166,0.008649097901379688,0
manifoldbt,next_open,XOM,SMA_CROSS,2848,13510.32820700719,0.3510328207007189,64,13649.58865561121,64,0.010202538121672378,0
manifoldbt,next_open,XOM,RSI_TREND,2848,14694.080453515526,0.4694080453515525,307,15210.305061047062,307,0.033939135701726686,0
manifoldbt,next_open,XOM,MACD_CROSS,2848,16934.75272806512,0.6934752728065119,219,17304.61137631662,219,0.02137341545604987,0
manifoldbt,next_open,XOM,CCI_ZERO,2848,16091.525771853236,0.6091525771853237,323,16686.085227171614,323,0.03563205192972396,0
manifoldbt,next_open,XOM,BBANDS_DIP,2848,9285.417924350228,-0.0714582075649772,146,9603.516787855637,146,0.03312316420456185,0
manifoldbt,next_open,UNH,SMA_CROSS,2848,12597.880935633286,0.2597880935633285,63,12529.907751509469,63,0.00542487506467304,0
manifoldbt,next_open,UNH,RSI_TREND,2848,11129.392479229831,0.1129392479229831,334,11352.96270482235,334,0.019692676828538702,0
manifoldbt,next_open,UNH,MACD_CROSS,2848,13018.76532035128,0.301876532035128,230,13266.955773624248,230,0.018707415439372266,0
manifoldbt,next_open,UNH,CCI_ZERO,2848,10640.56246746191,0.0640562467461909,312,10759.062483322288,312,0.011013972271660788,0
