class,timeframe,symbol,rule,engine_pair,scenario,n_bars,windowed,vector,other,rel_diff,ok,n_fills,abs_diff,tolerance,seconds
us_stocks,1m,UNH,MIN,vector-reference,pessimistic,612547,False,0.0019070205002830103,0.0019070205002710888,6.251350421291717e-12,True,,,,
us_stocks,1m,UNH,MIN,vector-nautilus,gross,20000,True,8777.063858852609,8776.85,2.4365648472855764e-05,True,10730.0,0.2138588526086096,1.5537856995094272,6.912130899960175
us_etfs,1d,TQQQ,MINUS_DM,vector-reference,gross,4146,False,40.90304899379232,40.90304899379213,4.51656088830112e-15,True,,,,
us_etfs,1d,TQQQ,MINUS_DM,vector-reference,retail,4146,False,37.75943595461782,37.75943595461718,1.693585844218349e-14,True,,,,
us_etfs,1d,TQQQ,MINUS_DM,vector-reference,wide,4146,False,34.02675935104716,34.02675935104654,1.8167236372225213e-14,True,,,,
us_etfs,1d,TQQQ,MINUS_DM,vector-reference,pessimistic,4146,False,26.228384821635576,26.22838482163618,2.3027011747130863e-14,True,,,,
us_etfs,1d,TQQQ,MINUS_DM,vector-nautilus,gross,4146,False,40.90304899379232,40.86,0.0010524641769089579,True,2088.0,0.04304899379231841,0.6854195795277518,2.3625797000713646
us_etfs,1d,TQQQ,CDL3STARSINSOUTH,vector-reference,gross,4146,False,10000.0,10000.0,0.0,True,,,,
us_etfs,1d,TQQQ,CDL3STARSINSOUTH,vector-reference,retail,4146,False,10000.0,10000.0,0.0,True,,,,
us_etfs,1d,TQQQ,CDL3STARSINSOUTH,vector-reference,wide,4146,False,10000.0,10000.0,0.0,True,,,,
us_etfs,1d,TQQQ,CDL3STARSINSOUTH,vector-reference,pessimistic,4146,False,10000.0,10000.0,0.0,True,,,,
us_etfs,1d,TQQQ,CDL3STARSINSOUTH,vector-nautilus,gross,4146,False,10000.0,10000.0,0.0,True,0.0,0.0,0.1,0.10043239989317954
us_etfs,4h,SPY,ASIN,vector-reference,gross,3272,False,10000.0,10000.0,0.0,True,,,,
