sheet,symbol,rule,ir,vs_random,xcagr,cagr,bench_cagr,long,years,fold_win,n_scored,t_folds,ceil_strategy,ceil_strategy_and_asset,best_xcagr_rule,best_xcagr,beats_own_bar,beats_lenient_bar
us_stocks_1d,NVDA,faber_gtaa,-0.1680776250166655,0.2620282776792699,0.015193639812666193,0.3525556054869161,0.3373619656742499,0.7142857142857143,26.57765587587751,0.25925925925925924,23,-3.1290224450784914,0.3431045996882982,0.5584083993254266,faber_gtaa,0.015193639812666193,False,False
us_stocks_1d,HD,volmanaged,-0.1826232869171782,-0.1826232869171782,-0.003000340563956261,0.2311707052649763,0.23417104582893256,1.0,44.57947131294982,0.26666666666666666,38,-1.9946452833111246,0.26492163116495826,0.4311643275546294,volmanaged,-0.003000340563956261,False,False
us_stocks_1d,GOOGL,atr_chandelier,-0.1969087421174533,0.2590424988861408,-0.023615452766582168,0.20018865235580408,0.22380410512238624,0.6837354945662184,21.579944103039143,0.2727272727272727,22,-3.1028722630209806,0.3807673658390822,0.6197051729027365,volmanaged,-0.008181121672143465,False,False
us_stocks_1d,ABBV,monday_effect,-0.2132787607878967,0.08343084622258978,-0.020033018880681652,0.15524628171621746,0.1752793005968991,0.8125790139064475,12.579345091188578,0.46153846153846156,13,-1.2774336750395847,0.49871893966268205,0.8116733062258925,monday_effect,-0.020033018880681652,False,False
us_stocks_1d,AMZN,tsmom12,-0.2347155739920264,0.14107366848446398,-0.026893307211653728,0.25201760740087886,0.2789109146125326,0.7521212964250938,28.581000619275773,0.2413793103448276,21,-2.8021459746257342,0.33086144532765405,0.5384824635162525,volmanaged,0.0009080785176838191,False,False
us_stocks_1d,WMT,volmanaged,-0.259205626019015,-0.259205626019015,-0.009980736863122175,0.17253757891109744,0.18251831577421962,1.0,53.59597006729241,0.2777777777777778,48,-2.992830870647284,0.24161217188893755,0.3932277978336964,volmanaged,-0.009980736863122175,False,False
us_stocks_1d,JNJ,ibs,-0.2879872923558723,0.12747846919614714,-0.03512103275339018,0.0685340427670953,0.10365507552048547,0.4744984824931527,53.57575862241664,0.37037037037037035,54,-2.326604215041053,0.24165774166477386,0.3933019633960511,volmanaged,-0.014719700246692335,False,False
us_stocks_1d,UNH,volmanaged,-0.3000778126740993,-0.3000778126740993,-0.019127385381368045,0.1587839774063624,0.17791136278773045,1.0,40.43338889313704,0.2222222222222222,33,-4.723487147962195,0.278172892097192,0.4527309734490143,volmanaged,-0.019127385381368045,False,False
us_stocks_1d,TSLA,macd_cross,-0.3176989534444651,0.28416054138129376,-0.06437209976014424,0.3319789156189179,0.39635101537906214,0.5204185809086268,15.57771508466866,0.25,16,-1.5766902370646496,0.4481599046391685,0.7293876421905896,macd_cross,-0.06437209976014424,False,False
us_stocks_4h,TSLA,macd_cross,0.5807340934425924,0.8828791853615443,0.42158816806088883,0.5173783708071524,0.0957902027462636,0.5041322314049587,3.933038159178772,0.8,5,1.6562075763586908,0.8919095153467543,1.4515974582105973,macd_cross,0.42158816806088883,False,False
us_stocks_4h,PEP,ibs,0.4739604163708142,0.4411646566637961,0.08108313705518166,0.083469172994314,0.002386035939132336,0.4992707826932426,3.938333040922416,0.6,5,0.1749211179829975,0.8913097509622419,1.4506213317750078,ibs,0.08108313705518166,False,False
us_stocks_4h,PG,monday_effect,0.2984794422483338,0.4056434070421485,0.02693251223534432,0.07685888147434183,0.049926369238997514,0.8132295719844358,3.940662557430602,0.4,5,0.11342166424420298,0.8910462638337849,1.4501925021242887,monday_effect,0.02693251223534432,False,False
us_stocks_4h,JNJ,monday_effect,0.2347592826265747,0.5321262355097288,0.025670386813560153,0.1715262244874507,0.14585583767389054,0.8134110787172012,3.927557632824524,0.6,5,-0.14937380411319376,0.8925315850934912,1.4526098869913822,monday_effect,0.025670386813560153,False,False
us_stocks_4h,V,ibs,0.1675928217665728,0.9041929322778883,0.04395395810637548,0.23368540340155897,0.1897314452951835,0.4650145772594752,3.947688087376362,0.4,5,0.07355678671430657,0.8902530324858255,1.4489015050122969,ibs,0.04395395810637548,False,False
us_stocks_4h,UNH,st_reversal,0.0785049057073167,0.3229252579658261,0.06011643033200165,0.0604064188885729,0.00028998855657125233,0.4656934306569343,3.9271021935364727,0.6,5,0.9664104144094137,0.892583338542308,1.4526941165835812,st_reversal,0.06011643033200165,False,False
