symbol,bars,left_index,last_bar,yrs_after,bars_after,px_at_exit,px_now,med_vol_after
COL,6213,2018-12-03,2026-08-07,7.7,1963,6.47,5.58,858142.0
COTY,3308,2020-09-21,2026-08-07,5.9,1476,3.02,2.82,6192100.0
COV,4455,2015-01-27,2026-08-07,11.5,2715,1.219,2.26,5900.0
CPB,10355,2026-06-22,2026-08-07,0.1,33,20.021,23.05,6132600.0
CPRI,3681,2020-05-12,2026-08-07,6.2,1567,13.4,15.31,2157200.0
CPWR,4943,2011-12-31,2026-08-07,14.6,3665,0.346,0.008,0.0
CSC,6604,2015-12-01,2026-08-07,10.7,2713,34.163,19.154,0.0
CSRA,1587,2018-04-04,2026-08-07,8.3,1587,,750.0,539600.0
CTRA,6405,2026-05-07,2026-08-07,0.3,62,667.822,625.0,13639050.0
CVC,583,2016-06-22,2026-08-07,10.1,583,,15.69,510451.0
CVG,5897,2009-12-18,2026-08-07,16.6,3522,9.272,79.0,200.0
CVH,2187,2013-05-08,2026-08-07,13.2,2187,,9480.0,13647.0
CZR,2987,2025-09-22,2026-08-07,0.9,220,25.74,30.15,5166850.0
DF,4944,2013-05-23,2026-08-07,13.2,3314,1.691,9.38,45700.0
DFS,2885,2025-05-19,2026-08-07,1.2,310,165.267,153.5,122612.0
DISH,1962,2023-06-20,2026-08-07,3.1,793,0.095,0.075,0.0
DV,1331,2012-10-01,2026-08-07,13.8,1331,,13.21,1463200.0
DXC,11240,2023-10-03,2026-08-07,2.8,713,21.16,10.84,1842900.0
DYN,1479,2009-12-18,2026-08-07,16.6,1479,,26.25,565900.0
EA,9160,2026-08-05,2026-08-07,0.0,2,209.7,209.7,0.0
