book,signal,family,horizon,t,null_sd,p_perm
top-20,I_corr_252,I,1,0.011804727903688703,0.8902921814281082,1.0
top-20,I_corr_252,I,5,0.05785279134849167,1.0038441229014166,1.0
top-20,I_corr_252,I,21,0.028172553006421724,0.9965820169265827,1.0
top-20,I_idio_mom_252,I,1,2.2657972629087255,0.7720339784926072,0.04
top-20,I_idio_mom_252,I,5,1.3001063067784802,0.7497502291500473,0.08333333333333333
top-20,I_idio_mom_252,I,21,1.1118772007762634,0.8201669457905767,0.16666666666666666
top-20,D_neg_dollar_vol_21,D,1,-0.7022282011784546,0.5314922850640914,0.875
top-20,D_neg_dollar_vol_21,D,5,-1.1459956206423367,0.44208528182904244,0.9583333333333334
top-20,D_neg_dollar_vol_21,D,21,-1.3726588099224484,0.3488663483211931,0.625
top-20,D_illiquidity_21,D,1,-0.16950810798467347,0.5876047708386665,0.8333333333333334
top-20,D_illiquidity_21,D,5,-0.4982424744438506,0.6966275654734698,0.75
top-20,D_illiquidity_21,D,21,-0.4393753024039383,0.42081216186814807,0.9583333333333334
top-20,D_neg_turnover_21,D,1,-0.6797106031690788,0.20005032699650976,0.25
top-20,D_neg_turnover_21,D,5,-1.440193573737555,0.18573033918400644,0.041666666666666664
top-20,D_neg_turnover_21,D,21,-1.9174268166189952,0.18446132408368152,0.04
top-20,D_neg_dollar_vol_63,D,1,-0.804172811745631,0.5899294184866472,0.75
top-20,D_neg_dollar_vol_63,D,5,-1.3588764469675527,0.5313241325476425,0.875
top-20,D_neg_dollar_vol_63,D,21,-1.3181697350070813,0.41581765617890887,0.7083333333333334
top-20,D_illiquidity_63,D,1,0.08713933999797417,0.7903539748910406,0.875
top-20,D_illiquidity_63,D,5,-0.4206170531607102,0.7404478360623842,0.9583333333333334
top-20,D_illiquidity_63,D,21,-0.41922874231142543,0.6129654370355506,0.9166666666666666
top-20,D_neg_turnover_63,D,1,-0.8107416979213241,0.23247210729129644,0.08333333333333333
top-20,D_neg_turnover_63,D,5,-1.5688822412746946,0.2001379054405829,0.04
top-20,D_neg_turnover_63,D,21,-1.9399605133705367,0.15325808047479378,0.04
top-20,D_vol_shock_5,D,1,0.49940889841035013,0.9838650044916138,0.75
top-20,D_vol_shock_5,D,5,1.943842031027826,1.0230425957746072,0.041666666666666664
top-20,D_vol_shock_5,D,21,1.370673014067452,1.1811277675308278,0.125
top-20,D_dollar_vol_trend_5,D,1,0.23021797284344814,0.9556141087076464,1.0
top-20,D_dollar_vol_trend_5,D,5,0.8876994992338822,0.7810545286836461,0.375
top-20,D_dollar_vol_trend_5,D,21,1.169989053010483,1.1484814944004675,0.4583333333333333
top-20,D_vol_shock_21,D,1,0.9071999763456521,0.9289867346440547,0.3333333333333333
top-20,D_vol_shock_21,D,5,1.6430884108108919,0.9130841637401192,0.08333333333333333
top-20,D_vol_shock_21,D,21,0.8589941600507722,0.8890669929173647,0.2916666666666667
top-20,D_dollar_vol_trend_21,D,1,0.28046153803544865,1.0400501486518343,0.7916666666666666
