timeframe,ticker,indicator,cost_bps,n_bars,bars_per_year,total_return,pnl_dollars,cagr,sharpe,max_drawdown,exposure,n_trades,turnover_per_year,base_total_return,base_cagr,base_sharpe,excess_total_return,excess_cagr,excess_sharpe,beat_buyhold
5m,WMT,CDLSPINNINGTOP,5.0,69708,19506.231258495893,-0.9998309243003807,-9998.309243003807,-0.9119970179963484,-17.12467528633574,-0.9998323332620793,0.6978969415275148,13033,4896.495826260793,1.4424988205901306,0.2838916235726532,1.2706740236776948,-2.442329744890511,-1.1958886415690015,-18.395349310013437,False
5m,WMT,CDLSPINNINGTOP,10.0,69708,19506.231258495893,-0.9999999734636912,-9999.999734636911,-0.9924150959556077,-30.806597793138483,-0.9999999735305695,0.6978969415275148,13033,4896.495826260793,1.4424988205901306,0.2838916235726532,1.2706740236776948,-2.442498794053822,-1.276306719528261,-32.07727181681618,False
5m,WMT,CDLSTALLEDPATTERN,0.0,69708,19506.231258495893,-0.060822339940139525,-608.2233994013952,-0.017406342709890388,-0.7381759071661848,-0.08580669288904386,0.026797498135077754,632,176.8536611153744,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.50332116053027,-0.3012979662825436,-2.0088499308438794,False
5m,WMT,CDLSTALLEDPATTERN,1.0,69708,19506.231258495893,-0.11834592026784296,-1183.4592026784296,-0.03463242838978997,-1.4898039873775883,-0.13726670002753494,0.026797498135077754,632,176.8536611153744,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.5608447408579735,-0.31852405196244316,-2.760478011055283,False
5m,WMT,CDLSTALLEDPATTERN,5.0,69708,19506.231258495893,-0.31534366149963355,-3153.4366149963357,-0.1005852194210004,-4.327475313729179,-0.32384306641973937,0.026797498135077754,632,176.8536611153744,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.7578424820897642,-0.3844768429936536,-5.598149337406874,False
5m,WMT,CDLSTALLEDPATTERN,10.0,69708,19506.231258495893,-0.5009675099196507,-5009.675099196506,-0.17675924504376117,-7.171847198989017,-0.5023240500285706,0.026797498135077754,632,176.8536611153744,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.9434663305097812,-0.46065086861641436,-8.442521222666711,False
5m,WMT,CDLSTICKSANDWICH,0.0,69708,19506.231258495893,0.02987309161257934,298.7309161257934,0.008271027876981085,0.890519176527739,-0.009586971096001151,0.0039450278303781484,94,26.304183773489232,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4126257289775512,-0.2756205956956721,-0.38015484714995573,False
5m,WMT,CDLSTICKSANDWICH,1.0,69708,19506.231258495893,0.020236682225425406,202.36682225425406,0.005622073584730103,0.6057866257163947,-0.011266287371303418,0.0039450278303781484,94,26.304183773489232,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4222621383647052,-0.2782695499879231,-0.6648873979613,False
5m,WMT,CDLSTICKSANDWICH,5.0,69708,19506.231258495893,-0.01742492537259077,-174.24925372590772,-0.004906951034445939,-0.501604843290133,-0.025040805516853504,0.0039450278303781484,94,26.304183773489232,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4599237459627212,-0.2887985746070991,-1.7722788669678278,False
5m,WMT,CDLSTICKSANDWICH,10.0,69708,19506.231258495893,-0.06257278469922645,-625.7278469922645,-0.017919160720581973,-1.6782091528806238,-0.06257278469922645,0.0039450278303781484,94,26.304183773489232,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.505071605289357,-0.30181078429323516,-2.9488831765583186,False
5m,WMT,CDLTAKURI,0.0,69708,19506.231258495893,0.14291079269878626,1429.1079269878626,0.03808685673357459,0.8202971545557163,-0.05190735423069803,0.09627302461697367,2190,612.8315155738449,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.2995880278913443,-0.2458047668390786,-0.4503768691219785,False
5m,WMT,CDLTAKURI,1.0,69708,19506.231258495893,-0.08188267369722524,-818.8267369722524,-0.023622564822881165,-0.4856081880806995,-0.1166808890538713,0.09627302461697367,2190,612.8315155738449,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.524381494287356,-0.30751418839553435,-1.7562822117583943,False
5m,WMT,CDLTAKURI,5.0,69708,19506.231258495893,-0.6177509325303485,-6177.509325303485,-0.2359403325251649,-5.535839911507742,-0.6233351311988276,0.09627302461697367,2190,612.8315155738449,1.4424988205901306,0.2838916235726532,1.2706740236776948,-2.060249753120479,-0.5198319560978181,-6.806513935185437,False
5m,WMT,CDLTAKURI,10.0,69708,19506.231258495893,-0.8722259894901707,-8722.259894901707,-0.43771790363177865,-10.890269382366702,-0.873144210148711,0.09627302461697367,2190,612.8315155738449,1.4424988205901306,0.2838916235726532,1.2706740236776948,-2.3147248100803015,-0.7216095272044318,-12.160943406044396,False
