timeframe,cost_bps,indicator,n_tickers,total_pnl_dollars,avg_total_return,median_total_return,avg_cagr,avg_sharpe,avg_max_drawdown,avg_excess_sharpe,avg_excess_cagr,beat_buyhold_rate,win_rate,avg_exposure,avg_turnover,avg_trades,n_sharpe,rankable,generic_fallback,is_baseline
1d,10.0,CDLSEPARATINGLINES,20,-9714.416658703125,-0.04857208329351563,-0.039669751744765946,-0.005034791775430975,-0.08654750944558207,-0.17166815345446512,-0.8123599012159032,-0.19851192570192758,0.0,0.35,0.028632772243215386,2.380817277916492,27.4,20,True,False,False
1d,10.0,CDLSHOOTINGSTAR,20,-55731.676643564046,-0.27865838321782027,-0.24479578301105082,-0.03051823107796764,-0.3983518254896455,-0.367671763244969,-1.1241642172599664,-0.22399536500446424,0.0,0.0,0.0842665750601168,6.680115266168596,77.3,20,True,False,False
1d,10.0,CDLSHORTLINE,20,-104831.3262137898,-0.5241566310689489,-0.6031572643933216,-0.07381785629151069,-0.3225555864763091,-0.6530034046800746,-1.0483679782466302,-0.2672949902180073,0.0,0.0,0.4949158364823084,43.062114322533134,403.9,20,True,False,False
1d,10.0,CDLSPINNINGTOP,20,-136855.78787809907,-0.6842789393904953,-0.7077044048921974,-0.1037652023901944,-0.33000344768897094,-0.7885479273421496,-1.0558158394592918,-0.297242336316691,0.0,0.0,0.7836825833047063,67.3066982542744,530.55,20,True,False,False
1d,10.0,CDLSTALLEDPATTERN,20,-8438.328529611907,-0.04219164264805953,-0.029338176275853334,-0.0040921589412213025,-0.1273656631306474,-0.09823074296900543,-0.8531780549009683,-0.1975692928677179,0.0,0.25,0.01303675712813466,1.0888674301904828,12.6,20,True,False,False
1d,10.0,CDLSTICKSANDWICH,20,1829.0720346917467,0.009145360173458733,0.0031749581203194266,0.0006918817746419725,0.044906222985964764,-0.0671642115557366,-0.6809061687843563,-0.19278525215185463,0.0,0.6,0.008244589488148402,0.6913444001209414,8.0,20,True,False,False
1d,10.0,CDLTAKURI,20,49583.575931586354,0.24791787965793177,0.04723237409581882,0.013777268194332198,0.17309494198210457,-0.2081473939182276,-0.5527174497882165,-0.1796998657321644,0.0,0.7,0.07796289934730334,6.230741406089985,72.1,20,True,False,False
1d,10.0,CDLTASUKIGAP,20,5225.840997318177,0.02612920498659089,-0.011315032321894791,0.0012405019381344974,0.02704069034907778,-0.16077803494323073,-0.6987717014212432,-0.1922366319883621,0.0,0.45,0.03665407076605977,3.085124385539701,35.45,20,True,False,False
1d,10.0,CDLTHRUSTING,20,-41074.945998592506,-0.20537472999296252,-0.23406009839105624,-0.021702635798013646,-0.33607190427733313,-0.3051375308009673,-1.0618842960476542,-0.21517976972451028,0.0,0.1,0.04735486087255238,3.8801704456787838,44.9,20,True,False,False
1d,10.0,CDLTRISTAR,20,-4480.35173019825,-0.022401758650991248,-0.024491704064338704,-0.002098041244009219,-0.1192045307075186,-0.06446347348619769,-0.8450169224778395,-0.19557517517050582,0.0,0.35,0.006046032291308828,0.5444337150952413,6.0,20,True,False,False
1d,10.0,CDLUNIQUE3RIVER,20,-6340.705059271221,-0.0317035252963561,-0.023109386803400633,-0.0031157063298562215,-0.08584566512156185,-0.08743404157222624,-0.811658056891883,-0.19659284025635282,0.0,0.25,0.009790450017176228,0.8209714751436179,9.5,20,True,False,False
1d,10.0,CDLUPSIDEGAP2CROWS,20,-6214.352424767238,-0.031071762123836187,-0.02088682750351073,-0.0028246085779939254,-0.1533491317709164,-0.06583733608125195,-0.8795077579700589,-0.19630174250449053,0.0,0.3,0.0036070079010649255,0.30246317505291187,3.5,19,True,False,False
1d,10.0,CDLXSIDEGAP3METHODS,20,-15423.958899945463,-0.07711979449972732,-0.06834347894107867,-0.009064427999639035,-0.13536375152705313,-0.23480815175399217,-0.8611761432973741,-0.20254156192613565,0.0,0.45,0.03856063208519409,3.244997778067669,37.05,20,True,False,False
1d,10.0,CEIL,20,-106229.9047583732,-0.531149523791866,-0.7366077866453337,-0.09543556914338543,-0.2606809139381415,-0.7899721138619211,-0.9864933057084626,-0.28891270306988204,0.0,0.1,0.9717107523187908,58.05564600015606,354.25,20,True,True,False
1d,10.0,CMO,20,-127629.20380365477,-0.6381460190182738,-0.7472203184722181,-0.1087123926823687,-0.2832772988250352,-0.7968445747647082,-1.0090896905953561,-0.30218952660886533,0.0,0.05,0.9951906561319135,56.50012109988394,327.4,20,True,False,False
1d,10.0,CORREL,20,-27324.916543068066,-0.13662458271534034,-0.3091500589545017,-0.04400099574552356,-0.03500861535041465,-0.6890990427579189,-0.7608210071207356,-0.23747812967202017,0.0,0.35,0.9835108210237034,29.252509930117334,169.75,20,True,True,False
1d,10.0,COS,20,-173939.43770263033,-0.8696971885131516,-0.9241989847592839,-0.18852702387595158,-0.6433381617301658,-0.908077985277898,-1.3691505535004869,-0.3820041578024482,0.0,0.0,0.9934730333218825,169.83739369471078,983.15,20,True,True,False
1d,10.0,COSH,20,-158441.27405875892,-0.7922063702937946,-0.856000284558893,-0.15716418728592188,-0.5194321609447577,-0.8588490447076053,-1.2452445527150788,-0.35064132121241853,0.0,0.0,0.9882858124355891,67.18571298425323,389.3,20,True,True,False
1d,10.0,DEMA_100,20,-124697.97225266465,-0.6234898612633233,-0.7018069935130884,-0.09896784122746052,-0.2672792419657661,-0.791748628515238,-0.9930916337360871,-0.2924449751539571,0.0,0.05,0.9319821367227756,40.1757514520282,232.95,20,True,False,False
1d,10.0,DEMA_1000,20,-33737.579205683774,-0.16868789602841888,-0.3485818210610998,-0.038128564592311245,-0.18051601504140075,-0.5313096449034809,-0.9063284068117218,-0.23160569851880783,0.0,0.2,0.3136379251116455,5.764083936008349,33.85,20,True,False,False
1d,10.0,DEMA_200,20,-111065.10509376478,-0.555325525468824,-0.7105769582415837,-0.08655415906118584,-0.24775704087295977,-0.7670316982095378,-0.9735694326432809,-0.2800312929876824,0.0,0.1,0.863277224321539,27.334029219781723,158.65,20,True,False,False
1d,10.0,DEMA_21,20,-132308.5047283047,-0.6615425236415235,-0.8565785395141661,-0.1429642995768345,-0.463948887928623,-0.8603154431351732,-1.189761279698944,-0.3364414335033311,0.0,0.05,0.9862590175197526,92.14756673111998,533.65,20,True,False,False
1d,10.0,DEMA_50,20,-130464.12026835536,-0.6523206013417768,-0.7650222234665761,-0.11499187740959091,-0.3133752894292292,-0.7958306687982207,-1.0391876811995502,-0.3084690113360875,0.0,0.05,0.9663345929233941,58.772915815281536,340.55,20,True,False,False
