timeframe,cost_bps,indicator,n_tickers,total_pnl_dollars,avg_total_return,median_total_return,avg_cagr,avg_sharpe,avg_max_drawdown,avg_excess_sharpe,avg_excess_cagr,beat_buyhold_rate,win_rate,avg_exposure,avg_turnover,avg_trades,n_sharpe,rankable,generic_fallback,is_baseline
5m,10.0,HT_SINE,20,-199987.58892060176,-0.9999379446030089,-0.9999503355192345,-0.935658409852411,-13.467570052749995,-0.9999391689185032,-14.279435101023584,-1.1773291579734422,0.0,0.0,0.98622816756966,2833.3243739596464,5959.55,20,True,False,False
5m,10.0,HT_TRENDLINE,20,-199999.97013741275,-0.9999998506870638,-0.9999999002051747,-0.9886301404005294,-19.103898686922797,-0.9999998533731855,-19.915763735196386,-1.2303008885215607,0.0,0.0,0.98622816756966,4437.15202178592,8825.25,20,True,False,False
5m,10.0,HT_TRENDMODE,20,-199817.7202614081,-0.9990886013070405,-0.9991448476402389,-0.8598475787534099,-14.267299930896158,-0.9991033749113342,-15.079164979169747,-1.1015183268744413,0.0,0.0,0.42982119098475013,2007.261070687527,7173.1,20,True,False,False
5m,10.0,IMI,20,-199999.9979894306,-0.9999999899471529,-0.9999999926160823,-0.9945165653633673,-22.31110743234499,-0.999999990255789,-23.12297248061858,-1.2361873134843986,0.0,0.0,0.9869339745065201,5209.319731509737,10205.45,20,True,False,False
5m,10.0,KAMA_100,20,-199981.10799469176,-0.9999055399734587,-0.999900870962835,-0.9278032268377794,-12.078269432737658,-0.9999093701543567,-12.890134481011245,-1.1694739749588108,0.0,0.0,0.9857117238535222,2546.1330568392113,5445.4,20,True,False,False
5m,10.0,KAMA_1000,20,-199405.22740766098,-0.9970261370383048,-0.9971911608007371,-0.8076829646550916,-7.998318974848732,-0.9971705781680719,-8.81018402312232,-1.049353712776123,0.0,0.0,0.9729569987851423,1588.0451375783762,3722.5,20,True,False,False
5m,10.0,KAMA_200,20,-199918.59635694113,-0.9995929817847056,-0.9996223106902072,-0.8907004466983466,-10.401921707293642,-0.9996022317215889,-11.21378675556723,-1.132371194819378,0.0,0.0,0.9842915036341434,2126.273510720141,4694.2,20,True,False,False
5m,10.0,KAMA_21,20,-199999.9572438874,-0.999999786219437,-0.9999998366285427,-0.9872731327622427,-18.537273572268354,-0.9999997921691934,-19.349138620541943,-1.228943880883274,0.0,0.0,0.9868306852384874,4297.963713172251,8576.55,20,True,False,False
5m,10.0,KAMA_50,20,-199998.26044533032,-0.9999913022266517,-0.9999927427610276,-0.9629329592025766,-14.650497451922794,-0.9999914743677513,-15.462362500196381,-1.2046037073236078,0.0,0.0,0.9864146611338208,3224.5571328679266,6658.6,20,True,False,False
5m,10.0,KAMA_9,20,-199999.99992829247,-0.9999999996414625,-0.9999999997139855,-0.997771129502059,-24.293403818411612,-0.9999999996451374,-25.1052688666852,-1.2394418776230904,0.0,0.0,0.987002115824918,5993.49222296697,11606.1,20,True,False,False
5m,10.0,LINEARREG_100,20,-199994.99092115968,-0.9999749546057984,-0.9999879125971352,-0.9535535109086751,-13.964813659260823,-0.9999763283697763,-14.77667870753441,-1.1952242590297064,0.0,0.0,0.9857260695123038,3119.3683809687195,6469.65,20,True,False,False
