class,tf,rule,symbol,mult,excess_cagr,ir
us_stocks,1d,ibs,ALLE,0.5,-0.01194403106076325,-0.1509674685004299
us_stocks,1d,ibs,ALLE,1.0,-0.013941391850714524,-0.1611097383646116
us_stocks,1d,ibs,ALLE,2.0,-0.017925455786930167,-0.18141169349119335
us_stocks,1d,ibs,ALLE,3.0,-0.021895350861685925,-0.20173661870106033
us_stocks,1d,ibs,ALLE,5.0,-0.02979283204795169,-0.24245416701865458
us_stocks,1d,ibs,ALLE,10.0,-0.04929202060454241,-0.34462856318498614
us_stocks,1d,ibs,AMAT,0.0,0.09333678960387437,0.13869015161476236
us_stocks,1d,ibs,AMAT,0.5,0.09100195632072205,0.13193406403599653
us_stocks,1d,ibs,AMAT,1.0,0.08867134420985567,0.12517523302552458
us_stocks,1d,ibs,AMAT,2.0,0.084022753551529,0.11164938380608493
us_stocks,1d,ibs,AMAT,3.0,0.07939095785239414,0.09811269043338466
us_stocks,1d,ibs,AMAT,5.0,0.07017751326518895,0.07100711939726347
us_stocks,1d,ibs,AMAT,10.0,0.047433669101548004,0.003059559172104909
us_stocks,1d,ibs,AMCR,0.0,0.1323996386387183,0.5900029358932615
us_stocks,1d,ibs,AMCR,0.5,0.1312324625617991,0.5843990837398148
us_stocks,1d,ibs,AMCR,1.0,0.13006643489949732,0.578792859795201
us_stocks,1d,ibs,AMCR,2.0,0.1277378204530586,0.5675733525274667
us_stocks,1d,ibs,AMCR,3.0,0.12541378657805646,0.5563445264134915
us_stocks,1d,ibs,AMCR,5.0,0.12077942573689038,0.5338593695862874
us_stocks,1d,ibs,AMCR,10.0,0.10927307621138782,0.4774913611706063
us_stocks,1d,ibs,AMD,0.0,0.07183288591738646,-0.019121522780762387
us_stocks,1d,ibs,AMD,0.5,0.07000125746727526,-0.023703207659602925
us_stocks,1d,ibs,AMD,1.0,0.06817286753228036,-0.028286061032902075
us_stocks,1d,ibs,AMD,2.0,0.0645257807383699,-0.037455259292504595
us_stocks,1d,ibs,AMD,3.0,0.060891580692739256,-0.04662908956087503
us_stocks,1d,ibs,AMD,5.0,0.053661662236930585,-0.06499053366687091
us_stocks,1d,ibs,AMD,10.0,0.03580927443062154,-0.11097322644408773
us_stocks,1d,ibs,AME,0.0,-0.07044275080352258,-0.42171117479410586
us_stocks,1d,ibs,AME,0.5,-0.07238520479537791,-0.43121378239257213
us_stocks,1d,ibs,AME,1.0,-0.07432432598592542,-0.4407211619077283
us_stocks,1d,ibs,AME,2.0,-0.07819259238282328,-0.4597501067987411
us_stocks,1d,ibs,AME,3.0,-0.08204759474124135,-0.47879774858501584
us_stocks,1d,ibs,AME,5.0,-0.08971798559388744,-0.5169480705444611
us_stocks,1d,ibs,AME,10.0,-0.10866494607324739,-0.6126324744502917
us_stocks,1d,ibs,AMG,0.0,0.013580027249235238,-0.08895299392909975
us_stocks,1d,ibs,AMG,0.5,0.011602620914137551,-0.09588288063901237
us_stocks,1d,ibs,AMG,1.0,0.009628805163029774,-0.10281573574809838
us_stocks,1d,ibs,AMG,2.0,0.0056919198213334354,-0.11669030665066944
us_stocks,1d,ibs,AMG,3.0,0.001769320153157894,-0.13057661729002562
us_stocks,1d,ibs,AMG,5.0,-0.006033225554502586,-0.1583840978351562
us_stocks,1d,ibs,AMG,10.0,-0.025293131287700943,-0.2281018922475718
us_stocks,1d,ibs,AMGN,0.0,0.030401201623350804,0.05232078300340805
us_stocks,1d,ibs,AMGN,0.5,0.02850659264607236,0.04332672481589681
us_stocks,1d,ibs,AMGN,1.0,0.026615066776753515,0.0343278758523063
us_stocks,1d,ibs,AMGN,2.0,0.022841244711803155,0.01631592513618754
us_stocks,1d,ibs,AMGN,3.0,0.019079696204800545,-0.001714829044186802
us_stocks,1d,ibs,AMGN,5.0,0.011593263581143765,-0.03783177926965483
us_stocks,1d,ibs,AMGN,10.0,-0.006910752914302876,-0.1284360981230443
us_stocks,1d,ibs,AMP,0.0,0.09608268661958475,0.14967873400619366
us_stocks,1d,ibs,AMP,0.5,0.09371358633247939,0.14275683685368398
us_stocks,1d,ibs,AMP,1.0,0.09134888305648414,0.13583217227177544
us_stocks,1d,ibs,AMP,2.0,0.0866326354919742,0.12197458616053877
us_stocks,1d,ibs,AMP,3.0,0.08193387997771362,0.1081060666458757
us_stocks,1d,ibs,AMP,5.0,0.07258859044925603,0.0803365936253036
us_stocks,1d,ibs,AMP,10.0,0.04952704495061511,0.010728033736661235
us_stocks,1d,ibs,AMT,0.0,-0.06854805492444904,-0.38519725837652175
us_stocks,1d,ibs,AMT,0.5,-0.07061433517424187,-0.39406500818744805
us_stocks,1d,ibs,AMT,1.0,-0.07267688015482587,-0.40293681369973355
us_stocks,1d,ibs,AMT,2.0,-0.07679079080880169,-0.42069249286907046
us_stocks,1d,ibs,AMT,3.0,-0.08088983977190178,-0.43846409720395946
us_stocks,1d,ibs,AMT,5.0,-0.0890435632481763,-0.4740542805878142
us_stocks,1d,ibs,AMT,10.0,-0.1091714590682189,-0.5632942901878253
us_stocks,1d,ibs,AMZN,0.0,-0.10919586426970418,-0.46317566515526054
us_stocks,1d,ibs,AMZN,0.5,-0.11135174062089614,-0.4701105699802481
us_stocks,1d,ibs,AMZN,1.0,-0.11350368268907873,-0.47704781415273095
us_stocks,1d,ibs,AMZN,2.0,-0.11779579215999814,-0.49092927337714526
us_stocks,1d,ibs,AMZN,3.0,-0.12207224892574642,-0.5048199482330439
us_stocks,1d,ibs,AMZN,5.0,-0.1305784283273803,-0.5326285643129042
us_stocks,1d,ibs,AMZN,10.0,-0.15157385364364084,-0.6023046743201163
us_stocks,1d,ibs,AN,0.0,-0.10445599404390493,-0.5437326811871488
us_stocks,1d,ibs,AN,0.5,-0.10611597833867326,-0.5510522599217175
us_stocks,1d,ibs,AN,1.0,-0.10777319923572504,-0.5583743515171603
us_stocks,1d,ibs,AN,2.0,-0.11107936886340453,-0.5730260099309922
us_stocks,1d,ibs,AN,3.0,-0.11437453890836224,-0.5876875293379241
us_stocks,1d,ibs,AN,5.0,-0.12093202360151778,-0.61703963981622
us_stocks,1d,ibs,AN,10.0,-0.13713573930069167,-0.6905834742965183
us_stocks,1d,ibs,ANET,0.0,-0.18116136740735467,-0.5866759577607367
us_stocks,1d,ibs,ANET,0.5,-0.1832251623730068,-0.5920127495439554
us_stocks,1d,ibs,ANET,1.0,-0.18528552972412138,-0.5973510278486408
us_stocks,1d,ibs,ANET,2.0,-0.18939600389067746,-0.6080320204120472
us_stocks,1d,ibs,ANET,3.0,-0.1934928344339657,-0.618718888116374
us_stocks,1d,ibs,ANET,5.0,-0.20164574204948815,-0.6401100587018689
us_stocks,1d,ibs,ANET,10.0,-0.22179233736075377,-0.6936874519241228
us_stocks,1d,ibs,ANF,0.0,0.05889128406596256,0.008703355786224382
us_stocks,1d,ibs,ANF,0.5,0.056883510999503395,0.002972337462104077
us_stocks,1d,ibs,ANF,1.0,0.05487929365858446,-0.0027605878236397715
us_stocks,1d,ibs,ANF,2.0,0.050881501446154775,-0.014232132133129441
us_stocks,1d,ibs,ANF,3.0,0.046897858119537617,-0.02571122270108159
us_stocks,1d,ibs,ANF,5.0,0.03897282172654837,-0.04869182367229273
us_stocks,1d,ibs,ANF,10.0,0.01940441680537508,-0.10627152967796369
us_stocks,1d,ibs,AON,0.0,-0.011669495125806284,-0.1462320859328002
us_stocks,1d,ibs,AON,0.5,-0.013722111401957893,-0.15664262091040035
us_stocks,1d,ibs,AON,1.0,-0.015771082380210855,-0.16705916774026178
us_stocks,1d,ibs,AON,2.0,-0.01985811384070235,-0.18791013270497464
us_stocks,1d,ibs,AON,3.0,-0.023930640194132602,-0.208784650763024
us_stocks,1d,ibs,AON,5.0,-0.032032379462185956,-0.25060301350343905
us_stocks,1d,ibs,AON,10.0,-0.05203640315458835,-0.3555375216303441
us_stocks,1d,ibs,AOS,0.0,0.016541000588783383,-0.04349465144623259
us_stocks,1d,ibs,AOS,0.5,0.014431355839076732,-0.05200248342013493
