class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling
crypto,1d,short,voltgt_tsmom,10,5.925313475391181,0.0344223208333333,0.8972807480886514,0.09396960982797221,6,0.9205197309568017,1.0,0.40170826186937714,-0.4709022318909265,4705.624511204231,1.5,0.5176402190248184,0.6886287265406748,-0.8106224708716994,-0.8671807197707126,1.343039630910035,451.5,54510.56138396292,68337.69123629059,24619.765198573186,43840.8064757515,0.5,0.559717090069284,0.44028290993071595,17.749671243930038,1.0199122159160465,1.1349942040235437,False,False,True,False,True,False,2,6,False,True,underpowered,False
crypto,1d,long,MAXINDEX~TRIMA_50|vote,10,5.925313475391181,0.021218658333333362,0.5079645110728844,0.10231991568336818,6,0.5756248396202207,1.0,0.2772315493281084,-0.08674321050447381,2873.567822710887,1.0,0.6566492462701305,0.6886287265406748,-0.8677668763834337,-0.8671807197707126,2.089354154779662,97.0,129450.3981466336,68337.69123629059,49744.21208360118,43840.8064757515,0.5,0.4660309212214524,0.10543687451886066,33.59527111387045,1.4647912979463211,0.642537775546272,False,False,True,False,True,False,2,6,False,True,underpowered,False
crypto,1d,short,tsmom12,10,5.925313475391181,0.0070423208333333,0.8941697426713546,0.019291742745737642,6,1.0,1.0,0.3892439570718591,-0.40529361373959794,624.3096259539225,1.0,0.6463493614410882,0.6886287265406748,-0.8277225448629619,-0.8671807197707126,3.985020702953835,41.0,34320.25779545719,68337.69123629059,33172.68229552622,43840.8064757515,0.5,0.6034642032332563,0.39653579676674366,13.501394393878972,1.0000000000000102,1.131059010802426,False,False,True,False,True,False,2,6,False,True,underpowered,False
crypto,1d,short,volmanaged,10,5.925313475391181,0.0030151125000000105,0.099687952571657,0.07408605505041932,6,0.9020038462964919,1.0,-0.03168879299751204,-0.053196496559179685,4486.401071970162,4.0,0.5391487687777123,0.6886287265406748,-0.8392368708109744,-0.8671807197707126,1.3797809981845655,638.0,68971.24989965897,68337.69123629059,39554.332395730344,43840.8064757515,0.3,0.9789838337182448,0.0210161662817552,4.043060680929994,1.1144640593294908,0.12609793380814388,False,False,False,False,True,True,2,6,False,True,underpowered,False
crypto,1d,long,HT_TRENDMODE,10,5.925313475391181,-0.010758625000000003,0.14417594824055693,-0.18278458997877076,6,0.8990740740740741,1.0,0.007976933806050607,-0.043727614373222666,591.5148746296982,0.75,0.7573441389953424,0.6886287265406748,-0.9189056441871297,-0.8671807197707126,2.049889859910527,100.0,71165.33307990136,68337.69123629059,80130.7509779818,43840.8064757515,0.4,0.8990740740740741,0.0,34.608484495923875,1.0508840299265825,0.1823719788496599,False,False,True,False,True,False,2,6,False,True,underpowered,False
crypto,1d,short,MAXINDEX~TRIMA_50|and,10,5.925313475391181,-0.061761175,1.049767151801061,-0.14411135307976014,6,1.0,1.0,0.5350392829753973,0.042042725565783826,-23221.51370412502,0.0,0.46399929827919717,0.6886287265406748,-0.8966161194668796,-0.8671807197707126,1.5487103261245516,122.5,10761.53732600436,68337.69123629059,9786.12847139357,43840.8064757515,0.3,0.4272305619707467,0.5727694380292533,42.93270523456964,0.9967670250763835,1.3278782982991064,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,TRIMA_50~MAXINDEX|gate,10,5.925313475391181,-0.061761175,1.049767151801061,-0.14411135307976014,6,1.0,1.0,0.5350392829753973,0.042042725565783826,-23221.51370412502,0.0,0.46399929827919717,0.6886287265406748,-0.8966161194668796,-0.8671807197707126,1.5487103261245516,122.5,10761.53732600436,68337.69123629059,9786.12847139357,43840.8064757515,0.3,0.4272305619707467,0.5727694380292533,42.93270523456964,0.9967670250763835,1.3278782982991064,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,long,IMI~MAXINDEX|gate,10,5.925313475391181,-0.08111715833333337,0.9188422551487957,-0.2162456571710915,6,0.8519630484988452,1.0,0.15031557002644003,-0.5694664885165603,2907.1726804320124,1.0,0.44263081619216005,0.6886287265406748,-0.8046207681760991,-0.8671807197707126,1.3680244244271775,246.0,54984.3619303501,68337.69123629059,13737.20712094515,43840.8064757515,0.6,0.43588529638183215,0.4182672568642546,85.09347023478257,1.0622498857633318,1.162267925871924,False,False,True,False,True,False,2,6,False,True,underpowered,False
crypto,1d,short,LINEARREG_ANGLE~TRIMA_50|and,10,5.925313475391181,-0.08539145833333328,1.2246381071960453,-0.1707978055555582,6,1.0,1.0,0.6654339115232419,0.3573624762065222,-21587.978111270288,0.0,0.5160312540967384,0.6886287265406748,-0.8481866033633076,-0.8671807197707126,1.5185481729238015,127.0,12911.03532549144,68337.69123629059,10693.375681561003,43840.8064757515,0.3,0.3510155247626379,0.6489844752373621,43.66062549185087,0.9980754202476068,1.5490772053838233,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,LINEARREG_ANGLE~TRIMA_50|vote,10,5.925313475391181,-0.08539145833333328,1.2246381071960453,-0.1707978055555582,6,1.0,1.0,0.6654339115232419,0.3573624762065222,-21587.978111270342,0.0,0.5160312540967384,0.6886287265406748,-0.8481866033633101,-0.8671807197707126,1.5185481729238006,127.0,12911.035325491373,68337.69123629059,10693.375681560849,43840.8064757515,0.3,0.3510155247626379,0.6489844752373621,43.66062549185087,0.9980754202476068,1.5490772053838233,False,False,True,True,False,False,2,6,False,True,underpowered,False
