class,tf,rule,symbol,floor,mode,cagr,excess_cagr,ir,vol,max_dd,mar,turnover_yr,weight
us_stocks,1d,ibs,AEP,0.75,floor,0.10380390998648403,-0.004861166154081387,-0.2486370315242362,0.18633750879240937,-0.3520842789232522,0.2948268815180792,13.286630384278151,0.8588037068239258
us_stocks,1d,ibs,AEP,1.0,floor,0.10866507614056542,0.0,,0.2107023468628002,-0.4847334291057379,0.22417491680125415,0.0,1.0
us_stocks,1d,ibs,AEP,0.43521482729570343,const,0.0516386632932595,-0.05702641284730592,-0.5949341465480307,0.091700785500693,-0.2296396361009806,0.22486825083868436,0.0,0.4352148272957033
us_stocks,1d,ibs,AES,0.0,floor,0.11547374825024703,0.028081208164617122,-0.04610743077326087,0.2696655963846689,-0.6212650760621676,0.18586872608736824,54.968930170362874,0.475821398483572
us_stocks,1d,ibs,AES,0.25,floor,0.11634796035727746,0.028955420271647547,-0.04610743077326068,0.2784149125676701,-0.607084892813555,0.1916502316802169,41.22669762777216,0.606866048862679
us_stocks,1d,ibs,AES,0.5,floor,0.11191703719812529,0.02452449711249538,-0.046107430773260856,0.3030371453539691,-0.6226977039187501,0.1797293237052441,27.484465085181437,0.737910699241786
us_stocks,1d,ibs,AES,0.75,floor,0.1022293382271171,0.014836798141487195,-0.046107430773260565,0.3401021576617191,-0.699502487154871,0.1461457823301254,13.742232542590719,0.868955349620893
us_stocks,1d,ibs,AES,1.0,floor,0.08739254008562991,0.0,,0.38604243560220947,-0.7945606845280525,0.10998850281339896,0.0,1.0
us_stocks,1d,ibs,AES,0.475821398483572,const,0.05999451223823615,-0.027398027847393758,-0.408639100052636,0.18368725158224758,-0.4846220029920806,0.12379650917174008,0.0,0.475821398483572
us_stocks,1d,ibs,AET,0.0,floor,0.281520345012507,0.4696481490317703,0.7623696055258148,0.42495266655822944,-0.6682819499206352,0.4212598365793663,40.00835651727683,0.375
