rule,symbol,scenario,ir_union,ret_pct,bench_pct,years_oos
STOCH,ETH/USD,gross,0.31227611900693253,283.11886708137604,46.82026269964654,3.5781930759196974
STOCH,ETH/USD,binance,-1.1041979050443058,-95.35607205804357,46.82026269964654,3.5781930759196974
STOCH,ETH/USD,kraken,-3.150580327860985,-99.99391556204323,46.82026269964654,3.5781930759196974
STOCH,ETH/USD,coinbase,-7.036961223808194,-99.99999999468412,46.82026269964654,3.5781930759196974
STOCH,XRP/USD,gross,-0.15440408305936723,78.34743339698649,214.7212634936457,3.576451983779322
STOCH,XRP/USD,binance,-1.3499774754849123,-97.94110436862026,214.7212634936457,3.576451983779322
STOCH,XRP/USD,kraken,-3.09128127315031,-99.99749334006889,214.7212634936457,3.576451983779322
STOCH,XRP/USD,coinbase,-6.47084443301484,-99.99999999812317,214.7212634936457,3.576451983779322
STOCH,BNB/USD,gross,-0.6102883995637488,-52.96056704619916,127.98769634427396,3.577695448066847
STOCH,BNB/USD,binance,-2.32082470927492,-99.50351241906455,127.98769634427396,3.577695448066847
STOCH,BNB/USD,kraken,-4.76264290289435,-99.99947174853949,127.98769634427396,3.577695448066847
STOCH,BNB/USD,coinbase,-9.257146236261713,-99.999999999702,127.98769634427396,3.577695448066847
STOCH,SOL/USD,gross,-0.7513203856346499,-77.48635002125393,444.52662721893137,3.5729485593727963
STOCH,SOL/USD,binance,-1.7896571512962964,-99.7538972791709,444.52662721893137,3.5729485593727963
STOCH,SOL/USD,kraken,-3.304289532714601,-99.99972399689948,444.52662721893137,3.5729485593727963
STOCH,SOL/USD,coinbase,-6.267522362334593,-99.99999999982614,444.52662721893137,3.5729485593727963
STOCH,DOGE/USD,gross,0.01841172859126612,4.92232887693782,-2.665011009874041,3.5777300177365596
STOCH,DOGE/USD,binance,-0.9978512181481803,-98.79028866644252,-2.665011009874041,3.5777300177365596
STOCH,DOGE/USD,kraken,-2.4871041892639982,-99.99853006248304,-2.665011009874041,3.5777300177365596
STOCH,DOGE/USD,coinbase,-5.4252655459148205,-99.999999998904,-2.665011009874041,3.5777300177365596
STOCH,ADA/USD,gross,-0.16369006464166527,-64.32569170504297,-29.612349978020703,3.576821770448599
STOCH,ADA/USD,binance,-1.2223584109206678,-99.60111766442454,-29.612349978020703,3.576821770448599
STOCH,ADA/USD,kraken,-2.767923524622846,-99.99953718037555,-29.612349978020703,3.576821770448599
STOCH,ADA/USD,coinbase,-5.794278064192582,-99.99999999968685,-29.612349978020703,3.576821770448599
STOCH,TRX/USD,gross,-0.8871923136946047,-21.80192564321901,526.9054758592694,3.577944244690496
STOCH,TRX/USD,binance,-2.771475477574806,-99.15689801014815,526.9054758592694,3.577944244690496
STOCH,TRX/USD,kraken,-5.459911104182083,-99.9990737627398,526.9054758592694,3.577944244690496
STOCH,TRX/USD,coinbase,-10.356355753417578,-99.99999999944103,526.9054758592694,3.577944244690496
STOCH,AVAX/USD,gross,-0.10125932313732239,-64.55369352468236,-44.711375212224084,3.575539821433812
STOCH,AVAX/USD,binance,-1.0772177009473127,-99.56441326007484,-44.711375212224084,3.575539821433812
STOCH,AVAX/USD,kraken,-2.503010182973316,-99.99941745601167,-44.711375212224084,3.575539821433812
STOCH,AVAX/USD,coinbase,-5.304281266438889,-99.99999999946874,-44.711375212224084,3.575539821433812
STOCH,LINK/USD,gross,0.13273969522612747,149.10392880491634,44.39775910364092,3.5799358640863708
STOCH,LINK/USD,binance,-0.9438098301927879,-97.2207398896524,44.39775910364092,3.5799358640863708
STOCH,LINK/USD,kraken,-2.513191436697275,-99.99678573281017,44.39775910364092,3.5799358640863708
STOCH,LINK/USD,coinbase,-5.577579662299847,-99.99999999784,44.39775910364092,3.5799358640863708
STOCHF,BTC/USD,gross,-0.7049248734729608,-22.661428012160776,275.7583618315889,3.574504278177206
STOCHF,BTC/USD,binance,-3.83763768603856,-99.94992853417287,275.7583618315889,3.574504278177206
STOCHF,BTC/USD,kraken,-8.120793363365086,-99.99999919998504,275.7583618315889,3.574504278177206
STOCHF,BTC/USD,coinbase,-15.381947448911989,-100.0,275.7583618315889,3.574504278177206
STOCHF,ETH/USD,gross,0.29552643909520593,262.068878249474,46.82026269964654,3.5781930759196974
STOCHF,ETH/USD,binance,-1.9694553972386921,-99.70009229306037,46.82026269964654,3.5781930759196974
STOCHF,ETH/USD,kraken,-5.158981596190395,-99.99999305908723,46.82026269964654,3.5781930759196974
STOCHF,ETH/USD,coinbase,-10.948514556456704,-100.0,46.82026269964654,3.5781930759196974
STOCHF,XRP/USD,gross,-1.1164081473692047,-96.43130936355575,214.7212634936457,3.576451983779322
STOCHF,XRP/USD,binance,-2.9010099343376297,-99.99765149807223,214.7212634936457,3.576451983779322
STOCHF,XRP/USD,kraken,-5.4657785345455325,-99.99999996154871,214.7212634936457,3.576451983779322
STOCHF,XRP/USD,coinbase,-10.3315211934781,-100.0,214.7212634936457,3.576451983779322
STOCHF,BNB/USD,gross,-0.9386146154821954,-79.41292958489868,127.98769634427396,3.577695448066847
STOCHF,BNB/USD,binance,-3.6254879471176022,-99.9847971450229,127.98769634427396,3.577695448066847
STOCHF,BNB/USD,kraken,-7.340290192944805,-99.99999970395562,127.98769634427396,3.577695448066847
STOCHF,BNB/USD,coinbase,-13.820948929944565,-100.0,127.98769634427396,3.577695448066847
STOCHF,SOL/USD,gross,-1.0612322437595787,-93.58532099266836,444.52662721893137,3.5729485593727963
STOCHF,SOL/USD,binance,-2.740946650761784,-99.99575597333403,444.52662721893137,3.5729485593727963
STOCHF,SOL/USD,kraken,-5.140956105093749,-99.99999992995934,444.52662721893137,3.5729485593727963
STOCHF,SOL/USD,coinbase,-9.665720214635767,-100.0,444.52662721893137,3.5729485593727963
STOCHF,DOGE/USD,gross,-0.5186237872190627,-90.85527566460341,-2.665011009874041,3.5777300177365596
