class,timeframe,symbol,rule,engine_pair,scenario,n_bars,windowed,vector,other,rel_diff,ok,n_fills,abs_diff,tolerance,seconds
us_stocks,1m,HD,ATAN,vector-nautilus,gross,20000,True,6866.350179092534,6865.99,5.245568360768567e-05,True,11863.0,0.3601790925340538,1.6337609984327572,32.249479099642485
us_stocks,1m,PEP,CDLGAPSIDESIDEWHITE,vector-reference,gross,618678,False,9967.047619363484,9967.047619363619,1.3505023854896334e-14,True,,,,
us_stocks,1m,PEP,CDLGAPSIDESIDEWHITE,vector-reference,retail,618678,False,8279.194163408507,8279.194163408445,7.470007164936208e-15,True,,,,
us_stocks,1m,PEP,CDLGAPSIDESIDEWHITE,vector-reference,wide,618678,False,6108.302735745129,6108.302735744605,8.576342248979033e-14,True,,,,
us_stocks,1m,PEP,CDLGAPSIDESIDEWHITE,vector-reference,pessimistic,618678,False,2855.5749138142287,2855.574913814053,6.147010067675826e-14,True,,,,
us_stocks,1m,PEP,CDLGAPSIDESIDEWHITE,vector-nautilus,gross,20000,True,10040.970487599803,10040.95,2.0404003604768753e-06,True,234.0,0.020487599802436307,0.2294558781116753,1.1514980997890234
us_stocks,1m,GOOGL,PLUS_DM,vector-reference,gross,598694,False,785.3463050991495,785.3463050992228,9.337028754617732e-14,True,,,,
us_stocks,1m,GOOGL,PLUS_DM,vector-reference,retail,598694,False,0.7453555885066452,0.7453555885037848,3.8376026755043625e-12,True,,,,
us_stocks,1m,GOOGL,PLUS_DM,vector-reference,wide,598694,False,8.324870107773431e-06,8.324870107715637e-06,6.942420879755255e-12,True,,,,
us_stocks,1m,GOOGL,PLUS_DM,vector-reference,pessimistic,598694,False,3.436658429003929e-18,3.4366584289851965e-18,1.873236501108801e-17,True,,,,
us_stocks,1m,GOOGL,PLUS_DM,vector-nautilus,gross,20000,True,7834.387971052363,7833.96,5.462724771158234e-05,True,15548.0,0.42797105236331845,1.8703742940919605,28.266765999607742
us_etfs,1d,XLV,BBANDS,vector-reference,gross,5070,False,10000.0,10000.0,0.0,True,,,,
us_etfs,1d,XLV,BBANDS,vector-reference,retail,5070,False,10000.0,10000.0,0.0,True,,,,
us_etfs,1d,XLV,BBANDS,vector-reference,wide,5070,False,10000.0,10000.0,0.0,True,,,,
us_etfs,1d,XLV,BBANDS,vector-reference,pessimistic,5070,False,10000.0,10000.0,0.0,True,,,,
us_etfs,1d,XLV,BBANDS,vector-nautilus,gross,5070,False,10000.0,10000.0,0.0,True,0.0,0.0,0.1,0.20700170006603003
us_etfs,1d,DIA,COSH,vector-reference,gross,6689,False,2248.5030023403206,2248.5030023403374,7.483046260239065e-15,True,,,,
us_etfs,1d,DIA,COSH,vector-reference,retail,6689,False,1925.9472630391574,1925.947263039228,3.6598011139812956e-14,True,,,,
us_etfs,1d,DIA,COSH,vector-reference,wide,6689,False,1554.6994773423328,1554.6994773424624,8.336208823082655e-14,True,,,,
us_etfs,1d,DIA,COSH,vector-reference,pessimistic,6689,False,910.0736373125119,910.0736373125432,3.4353132638548866e-14,True,,,,
us_etfs,1d,DIA,COSH,vector-nautilus,gross,6689,False,2248.5030023403206,2248.56,2.5349158804794585e-05,True,3874.0,0.056997659679382195,0.9336219791757261,7.963414799887687
