symbol,first_bar,last_bar,n_bars,span_years,entry,tradable_years,dv_rank_window,dv_med_held,dv_min_year,dv_p10_year,dv_last5y,spread_cs_bps,spread_roll_bps,tick_bps,stale_pct,zerovol_pct,vol_ann_pct,maxdd_pct,reject,passes,score,rank,selected
XLRE,2015-10-08,2026-08-07,2363,10.83,2017-03-15,9.4,156.2,163.9,0.0,4.3,217.1,8.9,74.8,0.17,1.27,0.0,20.8,-38.8,only 9.4y tradable,False,156.2,0,False
ITB,2006-05-05,2026-08-07,3495,20.26,2012-09-12,13.9,147.7,122.7,1.7,4.2,199.1,14.0,28.7,0.25,0.86,0.0,28.5,-52.1,only 13.9y tradable,False,147.7,0,False
INDA,2012-02-03,2026-08-07,2808,14.51,2015-06-09,11.16,139.4,126.9,0.1,5.0,193.9,0.0,116.7,0.22,1.1,0.0,21.2,-45.1,only 11.2y tradable,False,139.4,0,False
SVXY,2011-10-04,2026-08-07,3452,14.84,2012-11-14,13.73,135.1,125.9,2.5,40.9,109.4,0.0,,1.1,0.38,0.0,53.5,-95.2,leveraged/inverse/roll-decay product; only 13.7y tradable,False,135.1,0,False
SPLV,2011-05-05,2026-08-07,2928,15.26,2014-12-15,11.64,123.6,111.9,4.8,17.6,147.4,1.1,70.1,0.16,1.37,0.0,15.2,-36.3,only 11.6y tradable,False,123.6,0,False
QUAL,2013-07-18,2026-08-07,1944,13.05,2018-11-09,7.74,114.2,141.3,1.1,1.7,171.0,0.0,85.3,0.39,0.46,0.0,19.7,-34.1,only 7.7y tradable,False,114.2,0,False
MTUM,2013-04-18,2026-08-07,2190,13.3,2017-11-17,8.72,103.4,116.3,0.3,1.9,132.2,0.0,90.1,0.24,0.32,0.0,23.0,-34.1,only 8.7y tradable,False,103.4,0,False
UNG,2007-04-18,2026-08-07,4727,19.3,2007-10-23,18.79,89.5,101.3,33.1,46.7,126.3,0.0,131.7,0.85,1.31,0.0,49.3,-99.9,leveraged/inverse/roll-decay product; only 18.8y tradable,False,89.5,0,False
VLUE,2013-04-18,2026-08-07,1911,13.3,2018-12-31,7.6,36.5,45.9,0.0,0.1,46.8,0.0,87.3,0.26,0.26,0.0,21.8,-39.5,only 7.6y tradable,False,36.5,0,False
DBC,2008-01-02,2026-08-07,4681,18.6,,18.6,23.4,27.5,0.0,12.6,26.2,0.0,,0.23,1.84,5.4,19.3,-76.4,leveraged/inverse/roll-decay product; never clears $20M/day; 5.4% zero-volume bars,False,23.4,0,False
SPHB,2011-05-05,2026-08-07,1324,15.26,2021-04-30,5.27,19.7,33.3,0.3,1.0,33.1,0.0,36.4,0.26,0.38,0.0,27.7,-31.5,only 5.3y tradable,False,19.7,0,False
PPLT,2010-01-08,2026-08-07,219,16.58,2025-09-24,0.87,9.3,59.4,2.8,3.8,13.1,0.0,219.6,1.16,0.91,0.0,53.2,-44.0,only 0.9y tradable; illiquid now ($13M/day),False,9.3,0,False
DBA,2007-01-05,2026-08-07,4928,19.59,,19.59,9.2,12.2,3.8,5.9,11.2,0.0,34.1,0.28,2.05,0.0,16.7,-68.0,leveraged/inverse/roll-decay product; never clears $20M/day; illiquid now ($11M/day),False,9.2,0,False
COPX,2010-04-20,2026-08-07,513,16.3,2024-07-23,2.04,8.7,88.9,0.1,0.2,28.3,0.0,117.0,1.62,0.19,0.0,41.7,-34.8,only 2.0y tradable,False,8.7,0,False
PALL,2010-01-08,2026-08-07,169,16.58,2025-12-04,0.67,4.7,29.0,1.4,1.8,7.8,0.0,304.4,2.87,0.0,0.0,55.2,-43.2,only 0.7y tradable; illiquid now ($8M/day),False,4.7,0,False
WEAT,2011-09-19,2026-08-07,3743,14.88,,14.88,2.2,1.2,0.0,0.1,4.4,0.0,63.2,2.88,4.17,0.19,26.4,-84.3,leveraged/inverse/roll-decay product; never clears $20M/day; illiquid now ($4M/day),False,2.2,0,False
CORN,2010-06-09,2026-08-07,4066,16.16,,16.16,1.5,1.8,0.9,1.0,1.7,0.0,40.8,4.71,2.09,0.0,21.8,-78.1,leveraged/inverse/roll-decay product; never clears $20M/day; illiquid now ($2M/day),False,1.5,0,False
UGA,2008-02-28,2026-08-07,4640,18.44,,18.44,1.3,1.5,0.5,0.8,1.7,0.0,23.6,2.4,0.6,0.0,36.2,-86.6,leveraged/inverse/roll-decay product; never clears $20M/day; illiquid now ($2M/day),False,1.3,0,False
